market,as_of,cftc_contract_market_code,cftc_market_code,open_interest_all,mm_long_all,mm_short_all,source_year
GOLD - COMMODITY EXCHANGE INC.,2020-01-21,088691,CMX ,793829,258269,34437,2020
GOLD - COMMODITY EXCHANGE INC.,2020-01-28,088691,CMX ,715539,254259,34321,2020
GOLD - COMMODITY EXCHANGE INC.,2020-02-04,088691,CMX ,654572,223762,42152,2020
GOLD - COMMODITY EXCHANGE INC.,2020-02-11,088691,CMX ,658024,231499,35828,2020
GOLD - COMMODITY EXCHANGE INC.,2020-02-18,088691,CMX ,715317,278286,39740,2020
GOLD - COMMODITY EXCHANGE INC.,2020-02-25,088691,CMX ,732917,263218,32372,2020
GOLD - COMMODITY EXCHANGE INC.,2020-03-03,088691,CMX ,691985,242921,27560,2020
GOLD - COMMODITY EXCHANGE INC.,2020-03-10,088691,CMX ,633470,220642,10457,2020
GOLD - COMMODITY EXCHANGE INC.,2020-03-17,088691,CMX ,573925,164979,10900,2020
GOLD - COMMODITY EXCHANGE INC.,2020-03-24,088691,CMX ,547334,158965,1556,2020
GOLD - COMMODITY EXCHANGE INC.,2020-03-31,088691,CMX ,495652,156820,4222,2020
GOLD - COMMODITY EXCHANGE INC.,2020-04-07,088691,CMX ,480050,157005,4523,2020
GOLD - COMMODITY EXCHANGE INC.,2020-04-14,088691,CMX ,489965,162412,7168,2020
GOLD - COMMODITY EXCHANGE INC.,2020-04-21,088691,CMX ,493158,155492,9221,2020
GOLD - COMMODITY EXCHANGE INC.,2020-04-28,088691,CMX ,500816,154025,7619,2020
GOLD - COMMODITY EXCHANGE INC.,2020-05-05,088691,CMX ,490343,142326,9085,2020
GOLD - COMMODITY EXCHANGE INC.,2020-05-12,088691,CMX ,496739,144015,21798,2020
GOLD - COMMODITY EXCHANGE INC.,2020-05-19,088691,CMX ,528205,153961,26897,2020
GOLD - COMMODITY EXCHANGE INC.,2020-05-26,088691,CMX ,519374,145566,32485,2020
GOLD - COMMODITY EXCHANGE INC.,2020-06-02,088691,CMX ,475745,133655,33300,2020
GOLD - COMMODITY EXCHANGE INC.,2020-06-09,088691,CMX ,475661,126407,35230,2020
GOLD - COMMODITY EXCHANGE INC.,2020-06-16,088691,CMX ,489563,135945,31257,2020
GOLD - COMMODITY EXCHANGE INC.,2020-06-23,088691,CMX ,532101,161593,32078,2020
GOLD - COMMODITY EXCHANGE INC.,2020-06-30,088691,CMX ,561628,173526,34971,2020
GOLD - COMMODITY EXCHANGE INC.,2020-07-07,088691,CMX ,572776,179810,40467,2020
GOLD - COMMODITY EXCHANGE INC.,2020-07-14,088691,CMX ,580175,177400,42427,2020
GOLD - COMMODITY EXCHANGE INC.,2020-07-21,088691,CMX ,603138,181256,40987,2020
GOLD - COMMODITY EXCHANGE INC.,2020-07-28,088691,CMX ,598629,159894,42758,2020
GOLD - COMMODITY EXCHANGE INC.,2020-08-04,088691,CMX ,561837,165357,51885,2020
GOLD - COMMODITY EXCHANGE INC.,2020-08-11,088691,CMX ,553345,155418,57726,2020
GOLD - COMMODITY EXCHANGE INC.,2020-08-18,088691,CMX ,544010,151016,55578,2020
GOLD - COMMODITY EXCHANGE INC.,2020-08-25,088691,CMX ,549282,145055,58206,2020
GOLD - COMMODITY EXCHANGE INC.,2020-09-01,088691,CMX ,547704,147175,49433,2020
GOLD - COMMODITY EXCHANGE INC.,2020-09-08,088691,CMX ,557457,155528,51236,2020
GOLD - COMMODITY EXCHANGE INC.,2020-09-15,088691,CMX ,578925,166571,55473,2020
GOLD - COMMODITY EXCHANGE INC.,2020-09-22,088691,CMX ,575877,144670,63222,2020
GOLD - COMMODITY EXCHANGE INC.,2020-09-29,088691,CMX ,562396,140320,45948,2020
GOLD - COMMODITY EXCHANGE INC.,2020-10-06,088691,CMX ,555555,139350,44738,2020
GOLD - COMMODITY EXCHANGE INC.,2020-10-13,088691,CMX ,553197,138169,56388,2020
GOLD - COMMODITY EXCHANGE INC.,2020-10-20,088691,CMX ,562993,149108,58543,2020
GOLD - COMMODITY EXCHANGE INC.,2020-10-27,088691,CMX ,560900,149140,47265,2020
GOLD - COMMODITY EXCHANGE INC.,2020-11-03,088691,CMX ,544774,140094,49399,2020
GOLD - COMMODITY EXCHANGE INC.,2020-11-10,088691,CMX ,547449,130105,50322,2020
GOLD - COMMODITY EXCHANGE INC.,2020-11-17,088691,CMX ,557533,139550,49103,2020
GOLD - COMMODITY EXCHANGE INC.,2020-11-24,088691,CMX ,555253,137503,52155,2020
GOLD - COMMODITY EXCHANGE INC.,2020-12-01,088691,CMX ,538042,134446,48903,2020
GOLD - COMMODITY EXCHANGE INC.,2020-12-08,088691,CMX ,549520,147844,49033,2020
GOLD - COMMODITY EXCHANGE INC.,2020-12-15,088691,CMX ,550366,151901,50022,2020
GOLD - COMMODITY EXCHANGE INC.,2020-12-21,088691,CMX ,560769,158194,50070,2020
GOLD - COMMODITY EXCHANGE INC.,2020-12-29,088691,CMX ,556414,159673,50678,2020
GOLD - COMMODITY EXCHANGE INC.,2021-01-05,088691,CMX ,568888,167096,50527,2021
GOLD - COMMODITY EXCHANGE INC.,2021-01-12,088691,CMX ,555538,131057,52823,2021
GOLD - COMMODITY EXCHANGE INC.,2021-01-19,088691,CMX ,541330,127161,49090,2021
GOLD - COMMODITY EXCHANGE INC.,2021-01-26,088691,CMX ,534574,142815,46416,2021
GOLD - COMMODITY EXCHANGE INC.,2021-02-02,088691,CMX ,520011,137062,49284,2021
GOLD - COMMODITY EXCHANGE INC.,2021-02-09,088691,CMX ,506741,134733,47093,2021
GOLD - COMMODITY EXCHANGE INC.,2021-02-16,088691,CMX ,503016,125997,58041,2021
GOLD - COMMODITY EXCHANGE INC.,2021-02-23,088691,CMX ,481125,125124,56001,2021
GOLD - COMMODITY EXCHANGE INC.,2021-03-02,088691,CMX ,467008,106608,60648,2021
GOLD - COMMODITY EXCHANGE INC.,2021-03-09,088691,CMX ,473871,96223,66793,2021
GOLD - COMMODITY EXCHANGE INC.,2021-03-16,088691,CMX ,476467,100669,59548,2021
GOLD - COMMODITY EXCHANGE INC.,2021-03-23,088691,CMX ,485457,107941,64420,2021
GOLD - COMMODITY EXCHANGE INC.,2021-03-30,088691,CMX ,467321,113009,69936,2021
GOLD - COMMODITY EXCHANGE INC.,2021-04-06,088691,CMX ,463353,121563,55091,2021
GOLD - COMMODITY EXCHANGE INC.,2021-04-13,088691,CMX ,460733,112070,58263,2021
GOLD - COMMODITY EXCHANGE INC.,2021-04-20,088691,CMX ,471738,116843,60419,2021
GOLD - COMMODITY EXCHANGE INC.,2021-04-27,088691,CMX ,473305,117144,66493,2021
GOLD - COMMODITY EXCHANGE INC.,2021-05-04,088691,CMX ,470341,117434,63809,2021
GOLD - COMMODITY EXCHANGE INC.,2021-05-11,088691,CMX ,498693,131295,49680,2021
GOLD - COMMODITY EXCHANGE INC.,2021-05-18,088691,CMX ,520410,141776,49786,2021
